用户昵称,url_token,主页链接,一句话介绍,粉丝数,知乎总回答数,知乎总文章数,累计命中负面言论数,是否多帖持续攻击,全网历史攻击言论摘要
自知者明,ren-zai-lu-tu-46-66,https://www.zhihu.com/people/ren-zai-lu-tu-46-66,,90,4,2,26,⚠️ 是 (频繁攻击),[article] 只有无知的父母，才会将孩子的大量时间花在英语学习上，语文和数学才是最重要的，思维和逻辑，为啥不让学: 孩子思维混乱，逻辑不通，容易被洗脑受骗，他们只学英语。 只有无知 | 思维混乱，逻辑不通，容易被洗脑受骗，他们只学英语。 只有无知的父 | 能会做出本末倒置的行为，甚至是误导孩子的价值观，到头来反而会害了 || [pin] 想法_2074904621588530080: 关系变和谐了，这么多成功案例是骗人的？成功人士会被骗？”或“你说 | 正常人的逻辑是由因得出果，而被洗脑者在相关方面是由果得出因。他们 | 人进行辩论。在这种前提下，对被洗脑者晓之以理是完全没有效果的。例 || [pin] 想法_2074895473622701648: 层级返利来驱动销售，而是通过 洗脑方式，使学员获得极大的精神满足 | 汤、甚至加上邪教等“乱炖”下的洗脑术。 说白了，精神传销就是用集 | 上课和心理暗示的方式，先给学员洗脑，让学员的三观和认知脱离正常人 || [pin] 想法_2074872982921597350: 孩子的教育问腿。像这种传销式的洗脑教育，囚禁虐待式的粗暴教育，是 | 72982921597350 传销犯变身「国学大师」创办如是书院 | 衷于研究孩子的教育问腿。像这种传销式的洗脑教育，囚禁虐待式的粗暴 || [pin] 想法_2074852739704677383: 统文化名义。优秀传统文化被这群骗子给摸黑了，这是罪大恶极。
海 CHike,23-58-54-11,https://www.zhihu.com/people/23-58-54-11,,11,22,0,0,否,
Yeonjun,xiao-mi-zi-10-84,https://www.zhihu.com/people/xiao-mi-zi-10-84,来看我主页了？放下手中的屠刀，卸载软件就见不到我了，神会救你,3,13,0,0,否,
香雪莲,chu-xue-hou-sheng,https://www.zhihu.com/people/chu-xue-hou-sheng,职员,62,30,1,9,⚠️ 是 (频繁攻击),[answer] 怎么评价今日学堂？: 今日学堂？ 张清一熟悉怎样对人洗脑，说好听一点是一个精明且包装得 | 灵鸡汤，对家长进行狂轰滥炸式的洗脑。本来这个今日学堂和我无关，是 | 是图者，说难听一点就是一个江湖神棍。他非常清楚家长们对孩子的期望 || [answer] 请问一线新教育国际今日学堂怎样，孩子能上吗？: 着，美其名曰共同成长，这是他们忽悠手法之一，非常简单也很凑效。只 || [answer] 请问有人了解，张清一和今日学堂吗，怎么样？: 个造神的邪教，利用教育招牌进行洗脑，让体验。再利用资本的力量搞所 | 日学堂吗，怎么样？ 一个造神的邪教，利用教育招牌进行洗脑，让体验 || [answer] 张清一今日学堂走出的学生在做什么？: 不了以后的落魄，一个误人子弟的邪教式团体。 | ，根本掩盖不了以后的落魄，一个误人子弟的邪教式团体。 || [answer] 那个叫什么NLP总裁商战科学的课程算是传销吗？: 么NLP总裁商战科学的课程算是传销吗？ 就是忽悠人的骗局，没啥用 | 战科学的课程算是传销吗？ 就是忽悠人的骗局，没啥用。看起来高大上 | 没啥用。看起来高大上，其实就是忽悠。
楠楠,jian-dan-xiao-yu-21,https://www.zhihu.com/people/jian-dan-xiao-yu-21,,536,276,0,4,⚠️ 是 (频繁攻击),[answer] 《还珠格格》小燕子闯了那么多祸，为啥皇阿玛总是轻易原谅她？: 她也坏得坦荡 紫薇说你怎么能骗人呢 小燕子没爹没娘 去打工都是 || [answer] 《还珠格格》小燕子闯了那么多祸，为啥皇阿玛总是轻易原谅她？: 她也坏得坦荡 紫薇说你怎么能骗人呢 小燕子没爹没娘 去打工都是 || [answer] 家里不是很富裕，但很喜欢苹果手机，真的要拿全部工资去买吗？: 又听一个早期在华强北工作的同事忽悠说nova比苹果还好用，又是一 || [answer] 我姐被家暴数次，还不离婚，我们如何才能劝动她离婚？？: 预计以后也不会少。姐夫还告诉你套路。吃定了。 然后你和老爸的做法
心悦诚服,16-4-75-36-33,https://www.zhihu.com/people/16-4-75-36-33,,5,0,0,0,否,
好吧,yang-guang-32-19-17,https://www.zhihu.com/people/yang-guang-32-19-17,,10,0,0,0,否,
雨花台,zhou-dong-55-62,https://www.zhihu.com/people/zhou-dong-55-62,工程师,21,0,0,0,否,
心兰如慧,beauty-wish,https://www.zhihu.com/people/beauty-wish,跨境电商,24,142,0,0,否,
azqz,azqz,https://www.zhihu.com/people/azqz,真水无香,39,43,0,2,⚠️ 是 (频繁攻击),[answer] 进了个股票群，这些都是骗子吗？: 进了个股票群，这些都是骗子吗？ 百分之百骗子 | 群，这些都是骗子吗？ 百分之百骗子 || [answer] 怎么评价今日学堂？: 有色。千万要小心，千万不要上当受骗！！！。
没事儿闲逛逛,qie-ting-feng-yin-31-40-36,https://www.zhihu.com/people/qie-ting-feng-yin-31-40-36,,0,0,0,0,否,
缘来,23-72-20-62,https://www.zhihu.com/people/23-72-20-62,愿天下学子有明师指路，父母之邦有佳弟子！,686,179,1,1,否,[pin] 想法_1768977270838816768: 实与心平气和 # # 知三当三害人 # # 心胜：心胜则兴·心败
白冰,wan-ke-89,https://www.zhihu.com/people/wan-ke-89,南昌恰噶！,48,28,0,3,⚠️ 是 (频繁攻击),[answer] 如何看待 2025 年 9 月 4 日 A 股市场行情？: 就自生自灭，搞得所谓“牛市”，害人不浅。 || [answer] 希望各位朋友的出个主意吧，管虎导演的金刚川做了两个月群演一分工资也没发。心里难受？: 也没发。心里难受？ 兄弟，这么坑爹的吗？同情你的遭遇，希望可以通 || [answer] 希望各位朋友的出个主意吧，管虎导演的金刚川做了两个月群演一分工资也没发。心里难受？: 也没发。心里难受？ 兄弟，这么坑爹的吗？同情你的遭遇，希望可以通
宁静,5-81-82-2,https://www.zhihu.com/people/5-81-82-2,,478,14,20,14,⚠️ 是 (频繁攻击),[answer] 新教育的XZ国际部怎么样啊？: 经历了20年，发现新教育就是传销，以画大饼为诱饵，吸引了不少资 || [answer] 今日学堂 明德女塾是什么情况？靠谱吗？: 加中国研究生统一考试的，完全是忽悠大众。之前说的三年要考到哈佛， | 肆宣扬，完全不是正规比赛。只能忽悠一下他的信众。 || [answer] 怎么评价今日学堂？: 加中国研究生统一考试的，完全是忽悠大众。之前说的三年要考到哈佛， | 肆宣扬，完全不是正规比赛。只能忽悠一下他的信众。他的弟弟相信他， || [article] 豆包眼中的张桂梅老师和张清一教主: 的做教育，谁只是打着教育的晃子敛财，大家还不一目了然吗！！！ || [article] 卖大饼了，新鲜出炉的老张大饼！: t，完全是断章取义，混肴视听，忽悠清粉。 另一点伊顿公学每年有7
卢嘉仪,jun-jun-91-63-89,https://www.zhihu.com/people/jun-jun-91-63-89,人性,78,180,22,12,⚠️ 是 (频繁攻击),[answer] 怎么克服自己那该死的责任心？: 那可能不是责任心，很可能只是被洗脑的牛马。如果勤快能成功，最苦最 || [answer] 为什么父母为你付出很多，但是你仍然缺爱？心理学里，什么是缺爱？: 么尊重自己和别人。但潜意识不会骗人，你的状态是最真实的。如果你不 || [answer] 因女方家族有精神疾病，父母不同意结婚，该怎么办？可以详细分析一下精神分裂症的遗传几率吗？: ！别没思考清楚就冲动结婚，最终害人害己。其实你跟谁结婚都是要深思 || [answer] 因女方家族有精神疾病，父母不同意结婚，该怎么办？可以详细分析一下精神分裂症的遗传几率吗？: ！别没思考清楚就冲动结婚，最终害人害己。其实你跟谁结婚都是要深思 || [answer] 成年的女儿，经常被父亲家暴，选择远离后，又被亲戚指责，我该怎么办?: 被打了找他们要医药费去，别全是嘴炮，装做好心人，实际行动一点都没
聪明的笨笨,cong-ming-de-ben-ben-47,https://www.zhihu.com/people/cong-ming-de-ben-ben-47,,0,0,0,0,否,
所谓高人皆为凡人,charly-53-8,https://www.zhihu.com/people/charly-53-8,所谓捷径，要么骗局，要么非法；骗自己可笑，骗他人可耻,200,1,15,19,⚠️ 是 (频繁攻击),[article] 重温毕淑敏的《红处方》，论毒品的三种形态及其危害~远离隐蔽的精神毒品，于国于民于己它有毒: 奖赏系统。首先，邪教利用重复性洗脑和环境控制影响大脑神经可塑性， | 逃避学习和工作的年轻人；而投奔邪教精神毒品的绝大多是社会的失败者 | 愈、精神抚慰，对他们而言只有在邪教里才能找到心灵导师治愈自己家庭 || [article] 简单说说平台和个人: 的，带不来人员长期的成长。 由骗子掌舵，充斥着骗子、傻子或疯子的 | 期的成长。 由骗子掌舵，充斥着骗子、傻子或疯子的平台只会逆淘汰有 | 自己是个傻子，要么自己也是一个骗子或疯子。 对于个人没啥价值的平 || [article] 貌相、脾气、学识不是区别骗子的重点，行为和结果才是: 貌相、脾气、学识不是区别骗子的重点，行为和结果才是 旁氏在 || [article] AI梳理的对知乎上问题“说说，你在清一新教育或者是今日学堂的成长?”下回答的人群画像和分析: ​：00后学员用退学投票，宣告洗脑话术对Z世代失效。 ​ ​终极 || [pin] 想法_2033106791110791259: 91259 在体系内被大师反复洗脑进正规学校就是吸毒，就是吃屎，
九尾小七,94-30-61-28,https://www.zhihu.com/people/94-30-61-28,,3,0,0,0,否,
刘晓红,she-de-wu-wei-zhou,https://www.zhihu.com/people/she-de-wu-wei-zhou,,18,0,7,2,⚠️ 是 (频繁攻击),[pin] 想法_2056111829097648581: 的付出，捍卫家园，决不会让垃圾骗子得逞！！！ || [pin] 想法_2016233483052271139: 中华传武了！的确过去有很多传武骗子，但也有人，在全国和世界的擂台
恋恋,lian-lian-43-53,https://www.zhihu.com/people/lian-lian-43-53,,7,1,0,1,否,[answer] 请问有人了解，张清一和今日学堂吗，怎么样？: 学校都躲在山旮瘩里面，整天秀些花拳绣腿，最可恶的是给人洗脑，一些观念 | 天秀些花拳绣腿，最可恶的是给人洗脑，一些观念反智反社会，劝大家千 | 一些观念反智反社会，劝大家千万别上当
彷徨,pang-huang-31,https://www.zhihu.com/people/pang-huang-31,,4,1,0,0,否,
玉米,86-81-58-53-17,https://www.zhihu.com/people/86-81-58-53-17,,0,0,0,0,否,
lingling,lingling-88-43,https://www.zhihu.com/people/lingling-88-43,,1,0,0,0,否,
宋兵乙,song-bing-yi-63,https://www.zhihu.com/people/song-bing-yi-63,知识产权管理,41,172,0,2,⚠️ 是 (频繁攻击),[answer] 中国传统武术是因为传承问题如今不注重实战，还是打根起就不注重实战?: 傅也不知道，关键诀窍也许在某个套路里，但不知道是哪个，针对的是哪 || [answer] 据我所知很多“国术大湿”对这套拳谱根本闻所未闻，他们有什么资格自称练得是“传统武术”？: 7） 小点：那么能不能理解为，套路中的每个定势都能当桩站 医盲先 | 医盲先生：差不多。但不是啥子套路都有这个功能的。看看拳经32式
浮萍,hu-zhi-xiong-29,https://www.zhihu.com/people/hu-zhi-xiong-29,软件工程师,20,6,0,0,否,
不明真相的群众,bu-ming-zhen-xiang-de-qun-zhong-53,https://www.zhihu.com/people/bu-ming-zhen-xiang-de-qun-zhong-53,,3,0,0,0,否,
冠军班 刘轩彤,momo-61-81-77,https://www.zhihu.com/people/momo-61-81-77,见到了,40,0,14,4,⚠️ 是 (频繁攻击),[article] 这几日的感想、收获: ，跟自己的同学打的话，不知道能不能打赢。不是说我跟外人打就觉得自己 | 己人的事情。 刘轩宁也说“你能不能打外人这件事不是你能决定的，是老 || [article] 7.26汉尼拔文学课 课程收获: 候就会这样，比如跟盒饭哥，他们吹牛说办个赛事多少多少钱，然后山长 || [article] 7.22日记（准点版！！！）: 全属于是睡觉送枕头的行为…，能不能打到对方纯靠几率。完全没有观察对 || [article] 7.14（迟来版…）: ，而是通过这一次机会，体验到站上擂台是什么感觉，真的实战是什么感觉
朵朵,duo-duo-52-41-84,https://www.zhihu.com/people/duo-duo-52-41-84,,0,0,0,0,否,
文成武德张,93-55-89-13,https://www.zhihu.com/people/93-55-89-13,,142,15,18,14,⚠️ 是 (频繁攻击),[answer] 接受张清一先生免费供养的学生们，你拿什么来回馈恩人？请在此处留贴，说说你收获的喜悦和成长？: 适用于清一和明慧（化名）夫妇，套路和话术相似，所以能惺惺相惜。你 || [answer] 怎样评价清一邪教？: 怎样评价清一邪教？ 一个声称办教育的人，是一个 || [answer] 为什么中国有很多家庭父母与子女关系最后都成为了彼此的仇人呢？: 看不下去了，比如用教育慈善名义骗钱。 || [article] 张清一队员拳赛成绩能否说明“清一公社”合法性？: 质、无证开展义务教育阶段教学的非法办学机构。 无工商注册 ：有回答指 || [article] 信念，错在改变，重在养成: 的“信念”，当他认为“信念都是骗人的”，你数年教诲是不是功亏一篑
茅箴,mao-zhen-21,https://www.zhihu.com/people/mao-zhen-21,新教育打假，嬉笑怒骂、皆成文章。,190,54,106,40,⚠️ 是 (频繁攻击),"[answer] 有听过教育骗子这个概念吗？: 有听过教育骗子这个概念吗？ || [article] 清一的""诚敬恕""：挂在大门上的三块匾，全用来挡耳光: 。 诚：假话全不说，真话只挑能骗人的说 山长解""诚""有一句名言： | 标签，说你""奴级思维""""被体制洗脑""。病人对医生诚，医生转头把病 | 听着像智者，翻译过来就是——我忽悠你的时候，保证每个字都真，但连 || [article] 为什么张清一不敢看不敢讲周处除三害？: 进“净土”。 电影把这套“自我神化+封闭场域+财务奉献”的闭环拍 | 是怕定错性，被截屏拿去当“自认邪教”的证据； - 不讲，是因为《 | TE模型拍成了直观血腥版，而反邪教系统和公安系统现在就用这部片给 || [article] 清一大学“常春藤”谎言：一场用数据粉饰的招生诈骗: 藤”谎言：一场用数据粉饰的招生诈骗 清一大学最核心的卖点，是“常 | 不过是一场用虚假承诺包装的招生诈骗。那些被“藤校光环”吸引的家长 | ，它用“阶层跨越”来包装“教育诈骗”，声称“东南亚是未来的发展重 || [article] 哪里才是儿童地狱: 哪里才是儿童地狱 该邪教一贯的制造焦虑的手段。接下来看 | 的制造焦虑的手段。接下来看看该邪教是如何做的。"
奔跑的蜗牛,6-93-61-85-36,https://www.zhihu.com/people/6-93-61-85-36,,13,1,2,2,⚠️ 是 (频繁攻击),[answer] 把新教育学堂当成夏令营，体验一两年行不？: 玄学也没真东西教授，还要小心被洗脑，精神控制，出来怕是要废了！ || [article] 别被诡辩话术绕晕: 易被绕进去，在这里梳理一下常见套路。 1、将合规、管理问题，归为 | 方案包装成稳妥退路，对普通家庭误导性很强。 4、污名化提出质疑的
稀有人类,xi-you-ren-lei-21,https://www.zhihu.com/people/xi-you-ren-lei-21,现在真是不反中不知乎啊，何尝不是一种zzzq,53,5,0,0,否,
宝石,bao-shi-7-53,https://www.zhihu.com/people/bao-shi-7-53,,187,15,23,34,⚠️ 是 (频繁攻击),[answer] 如何评价清一大学？: 如何评价清一大学？ 邪教发源地，大邪师DPD，毕业之后 || [answer] 官方通报传销头目出狱办书院，涉事书院被关停、3人被刑拘，还有其他违法犯罪线索被发现，哪些信息值得关注？: 官方通报传销头目出狱办书院，涉事书院被关停 | 们的心灵，掏空家庭等荷包，肆意敛财，请有关部门关注，救救这些孩子 | 费和家长们的时间去做义工，实则毒害孩子们的心灵，掏空家庭等荷包， || [answer] 匪夷所思！11岁男孩交万元学费搬砖，背后的真相居然·····是世界疯了，还是我不正常了？: 啥？除了张清一儿子拿了他爹疯狂敛财的钱安全的走了，其他学生哪个得 || [answer] 怎样评价清一邪教？: 世间生活，何谈自由自在？只能是自嗨！孩子是一个家庭家族的命脉和未 | 怎样评价清一邪教？ 教育披上宗教，费钱费人，小 | 金三角地带不能翻身，这就是清一邪教的目的和意义，了解和研究清一的 || [answer] 说说清一新教育带给你不可磨灭的身心创伤，给你家庭带来的巨大损失?: 子在一个相对封闭的圈子里，一直自嗨以为新教育里所有的伙伴包括自己
羽裂蓑衣,5-93-44-7,https://www.zhihu.com/people/5-93-44-7,,1,1,0,1,否,[answer] 清一大学究竟是一所什么样的大学？: 记，竟然有和神对话的课，感觉像邪教
逸尘,yi-chen-77-92-10,https://www.zhihu.com/people/yi-chen-77-92-10,,422,80,1,9,⚠️ 是 (频繁攻击),[answer] 常年练武侠影视里的武术功夫的，在实战中能打赢练散打、跆拳道、军式格斗的吗？: 森这个级别的训练营，我却一个也打不过……任何的格斗体系，原本没有高 || [answer] 中国第一块世运会泰拳金牌获得者刘晓慧，自称是靠传武太极功夫才赢的，这是真的吗？: 就变成了只练了四年的人了呢？不吹牛有这嘛的难吗？并且，她练的拳， || [article] 正本清源，剥离假大师伪专家，捍卫传统文化纯洁性: 正本清源，剥离假大师伪专家，捍卫传统文化纯洁性 1 || [pin] 想法_2069246921538004579: 蛋了，还需要走两招了吗？别听他吹牛逼叫啥传武实战第一人了，自欺欺人 || [pin] 想法_2066923885342332822: 张无情揭露的所有努力都斥之为：嘴炮……嘴炮这个词，不正是老张吹嘘 | 露的所有努力都斥之为：嘴炮……嘴炮这个词，不正是老张吹嘘自己武力 | 自己武力值高时候说别的武者都是嘴炮的口头禅吗？
